direction,generalized_eigenvalue,cumulative_discriminative_mass,signal_fraction_lambda_over_one_plus_lambda
305,2.078497946698237e-15,1.0,2.0784979466982327e-15
306,2.0723669290351777e-15,1.0,2.0723669290351738e-15
307,2.0299515866733853e-15,1.0,2.0299515866733813e-15
308,2.02919375564195e-15,1.0,2.029193755641946e-15
309,2.0151448736336426e-15,1.0,2.0151448736336386e-15
310,1.989587150013633e-15,1.0,1.989587150013629e-15
311,1.984718247267799e-15,1.0,1.984718247267795e-15
312,1.982363052555933e-15,1.0,1.982363052555929e-15
313,1.971213586184732e-15,1.0,1.971213586184728e-15
314,1.9520722532175335e-15,1.0,1.9520722532175295e-15
315,1.9145212441016002e-15,1.0,1.9145212441015963e-15
316,1.9058149316464695e-15,1.0,1.9058149316464655e-15
317,1.8903944087045006e-15,1.0,1.8903944087044967e-15
318,1.848022090750392e-15,1.0,1.848022090750389e-15
319,1.847823114530059e-15,1.0,1.8478231145300558e-15
320,1.846722574221155e-15,1.0,1.8467225742211518e-15
321,1.844021273656015e-15,1.0,1.844021273656012e-15
322,1.837782957570162e-15,1.0,1.837782957570159e-15
323,1.8177659674297017e-15,1.0,1.8177659674296986e-15
324,1.763606743399572e-15,1.0,1.763606743399569e-15
325,1.7631686787659175e-15,1.0,1.7631686787659143e-15
326,1.7473348478176083e-15,1.0,1.7473348478176051e-15
327,1.7438364641356717e-15,1.0,1.7438364641356686e-15
328,1.7296609953247245e-15,1.0,1.7296609953247214e-15
329,1.6818200392984551e-15,1.0,1.6818200392984522e-15
330,1.6800826224809271e-15,1.0,1.6800826224809242e-15
331,1.64858498951808e-15,1.0,1.6485849895180775e-15
332,1.6454985656221114e-15,1.0,1.6454985656221088e-15
333,1.6446045223822534e-15,1.0,1.6446045223822508e-15
334,1.6046775722490084e-15,1.0,1.6046775722490059e-15
335,1.5928936703150768e-15,1.0,1.5928936703150743e-15
336,1.579022807099526e-15,1.0,1.5790228070995236e-15
337,1.5729375718839548e-15,1.0,1.5729375718839524e-15
338,1.550485896479119e-15,1.0,1.5504858964791166e-15
339,1.515769288675526e-15,1.0,1.5157692886755235e-15
340,1.4595342710291725e-15,1.0,1.4595342710291701e-15
341,1.4414117196542523e-15,1.0,1.4414117196542503e-15
342,1.4354482249669753e-15,1.0,1.4354482249669734e-15
343,1.4327175485683807e-15,1.0,1.4327175485683788e-15
344,1.4305043159175944e-15,1.0,1.4305043159175924e-15
345,1.414074387009849e-15,1.0,1.4140743870098471e-15
346,1.3991314594393464e-15,1.0,1.3991314594393446e-15
347,1.3889581689943385e-15,1.0,1.3889581689943368e-15
348,1.3798745542228876e-15,1.0,1.3798745542228859e-15
349,1.3407024643660637e-15,1.0,1.340702464366062e-15
350,1.3368862274641583e-15,1.0,1.3368862274641565e-15
351,1.3177978804853717e-15,1.0,1.31779788048537e-15
352,1.2929539436509628e-15,1.0,1.292953943650961e-15
353,1.2836048738956613e-15,1.0,1.2836048738956595e-15
354,1.2797187257832076e-15,1.0,1.2797187257832058e-15
355,1.2551571858121944e-15,1.0,1.2551571858121928e-15
356,1.2392224732514776e-15,1.0,1.239222473251476e-15
357,1.2060155997083972e-15,1.0,1.2060155997083958e-15
358,1.2052007570089274e-15,1.0,1.205200757008926e-15
359,1.1967635361350207e-15,1.0,1.1967635361350193e-15
360,1.1950602288463746e-15,1.0,1.1950602288463733e-15
