gene_id,neural_weight_norm,lda_loading_norm,neural_rank,lda_rank,combined_rank
65057,0.2716681,0.1435941529876252,756.0,701.0,728.5
26128,0.27048206,0.14483002006723397,769.0,690.0,729.5
5236,0.29071817,0.10960655333634804,521.0,939.0,730.0
79716,0.28562722,0.12150852024156379,584.0,876.0,730.0
25793,0.25506303,0.1562655902094631,896.0,565.0,730.5
5019,0.26755828,0.1459616104832398,793.0,679.0,736.0
6832,0.2874335,0.11724512004881253,569.0,905.0,737.0
958,0.2812961,0.1278508086004589,641.0,833.0,737.0
4154,0.27635124,0.1357904472303001,700.0,775.0,737.5
5355,0.27518958,0.13827176469878283,721.0,757.0,739.0
5257,0.26515737,0.14713332052521697,817.0,662.0,739.5
6009,0.28387117,0.1220075559740444,604.0,875.0,739.5
51599,0.28133738,0.12540906042530506,640.0,846.0,743.0
5048,0.24035624,0.16061684022098013,966.0,522.0,744.0
64428,0.24016756,0.160322051932103,967.0,524.0,745.5
5986,0.2874353,0.11271861924055637,568.0,924.0,746.0
6622,0.28980064,0.1003085999388386,536.0,959.0,747.5
10670,0.26560324,0.14461931119490973,811.0,692.0,751.5
9375,0.25832438,0.15001994979998726,870.0,633.0,751.5
5898,0.24218708,0.1588808478795288,961.0,543.0,752.0
23013,0.27544448,0.13423064269634882,714.0,790.0,752.0
6793,0.2770108,0.13010658902133088,687.0,819.0,753.0
4931,0.2707269,0.1390949363879002,766.0,742.0,754.0
9813,0.26899233,0.14081345217739277,784.0,727.0,755.5
51385,0.26325226,0.14560853315782007,835.0,681.0,758.0
10973,0.27092698,0.13830742423565523,763.0,754.0,758.5
8573,0.25508165,0.15085625262524124,895.0,622.0,758.5
81533,0.282936,0.11695858991844445,615.0,907.0,761.0
90861,0.23031272,0.15834554985017787,973.0,549.0,761.0
1429,0.25725567,0.14914944100995423,879.0,643.0,761.0
23224,0.27961028,0.12320291362892076,657.0,865.0,761.0
1062,0.27622238,0.13016930347668523,705.0,818.0,761.5
84159,0.26240316,0.14493971144987836,837.0,688.0,762.5
427,0.270409,0.13828497350068156,770.0,756.0,763.0
4817,0.23448546,0.1575667393335638,970.0,558.0,764.0
9918,0.27249938,0.1347354049876172,748.0,782.0,765.0
1212,0.27789193,0.12459477042778423,680.0,853.0,766.5
4791,0.2764256,0.1271241385043302,697.0,837.0,767.0
